station ID,year,JanTotal,FebTotal,MarTotal,AprTotal,MayTotal,JunTotal,JulTotal,AugTotal,SepTotal,OctTotal,NovTotal,DecTotal,AnnTotal
63207,1901,1.55,0.58,5.33,5.22,4.75,1.2,2.39,1.35,4.82,1.6,2.89,6.98,38.67
63207,1902,2.09,3.86,2.22,3.2,1.77,2.77,2.24,1.63,4.63,4.22,0.6,5.73,34.96
63207,1903,2.94,4.04,4.39,3.41,0.54,4.44,2,5.7,1.31,2.14,1.29,2.22,34.44
63207,1904,4.98,2.94,2.3,3.87,2.22,2.23,1.69,4.03,5,1.96,2.63,4.19,38.05
63207,1905,3.74,1.66,2.54,2.74,0.81,5.72,2.76,5.06,3.54,2.27,2.2,5,38.04
63207,1906,2.88,3.28,4.13,3.81,5.34,5.9,6.42,2.11,3.18,7.42,2.53,4.21,51.2
63207,1907,3.69,2.81,2.98,2.52,4.05,3.07,1.9,0.99,5.54,4.74,7.22,5.51,45.02
63207,1908,4.96,5.84,4.2,2.05,4.09,1.82,3.11,7.82,1.57,3.76,0.33,4.39,43.94
63207,1909,3.58,7.18,4.14,6.24,2.91,2.8,2.34,2.95,5.04,1.67,3.29,2.98,45.11
63207,1910,5.78,3.69,1.48,1.98,3.22,3.83,3.1,2.15,2.41,2.58,4.58,2.77,37.56
63207,1911,4.32,2.57,3.19,2.98,0.74,1.89,2.18,6.98,2.27,3.22,6.52,3.39,40.26
63207,1912,2.89,2.64,6.91,4.35,3.45,0.43,2.48,3.33,2.66,1.4,2.47,5.89,38.89
63207,1913,3.69,3.38,3.76,6.91,1.83,1.04,1.71,2.27,4.13,7.84,2.99,3.03,42.58
63207,1914,3.26,2.79,3.01,4.04,2.65,1.83,4.26,3.3,0.33,3.6,2.31,4.4,35.79
63207,1915,8.61,5.53,0.35,1.51,3.37,0.94,5.31,7.49,2.43,3.27,1.97,4.72,45.52
63207,1916,1.65,6.01,3.07,2.39,2.95,4.28,7.13,1.58,1.62,2.98,3.17,3.77,40.61
63207,1917,4.14,2.09,5.6,4.74,4.14,4.26,2.46,4.91,4.47,3.49,1.65,1.4,43.34
63207,1918,4.81,4.46,2.32,4.24,3.77,4.88,4.15,1.41,6.66,1.44,3.01,3.63,44.79
63207,1919,3.85,3.53,6.74,4.91,5.67,2.7,4.28,7.8,5.76,3.5,3.43,3.45,55.62
63207,1920,2.7,4.13,4.26,5.15,3.16,6.24,3.33,5.26,2.3,1.34,5.23,5.29,48.38
63207,1921,3.39,1.96,2.51,6.92,3.4,4.19,4.99,3.3,2.78,1.45,4.62,2.49,42.01
63207,1922,2.54,3.34,5.45,2.92,4.56,7.43,3.72,5.23,1.38,2.9,1.35,3.21,44.02
63207,1923,7.33,1.99,3.73,3.98,1.51,3.35,2.5,1.19,1.98,7.37,3.34,5.95,44.23
63207,1924,4.74,2.99,1.35,6.02,5.78,2.48,0.44,5.89,3.19,0.2,2.68,2.04,37.8
63207,1925,3.38,2.45,4.08,2.2,4.38,2.5,3.54,2.99,3.54,4,3.38,3.17,39.61
63207,1926,2.54,5.55,4.09,2.94,1.52,1.94,2.22,4.1,2.95,4.41,4.03,4.59,40.89
63207,1927,2.98,3.14,1.56,2.41,4.3,3.33,5.31,10.01,2.1,4.43,6.13,5.62,51.32
63207,1928,2.06,4.71,2.89,5.3,2.13,5.3,5.07,3.03,3.8,2.35,5.05,1.4,43.07
63207,1929,4.89,5.35,3.67,5.93,4.31,0.71,1.34,3.5,3.49,2.16,2.68,3.63,41.66
63207,1930,2.89,3.73,2.32,1.74,3.63,2.94,2.59,1.39,0.59,2.81,4.3,3.78,32.71
63207,1931,3.81,2.02,6.02,3.17,4.89,5.06,4.31,6.34,0.72,2.57,1.38,4.05,44.34
63207,1932,6.31,2.81,6.38,2.29,2.11,3.67,2.78,5.78,7.42,7.63,6.74,3.2,57.13
63207,1933,3.16,4.95,5.65,5.22,3.02,3.23,2.61,7.09,7.31,3.31,2.16,4.35,52.07
63207,1934,4.65,4.66,5.58,5.69,6.02,4.09,2.61,2.37,8.06,3.86,3.8,4.53,55.93
63207,1935,6.97,4.12,3.04,3.13,1.79,4.65,8.17,0.59,5.12,0.84,3.78,0.85,43.05
63207,1936,8.15,2.77,8.68,4.02,1.92,3.67,2.04,4.3,3.97,4.19,1.35,10.67,55.73
63207,1937,6.03,3.16,4.88,5.45,3.81,4.81,4.31,4.7,3.25,4.39,7.39,3.12,55.31
63207,1938,4.57,3.03,3.07,3.47,4.26,6.77,7.76,7.38,9.25,2.46,3.67,4.01,59.7
63207,1939,4.7,5.12,5.57,5.88,1.05,2.04,2.35,7.03,1.06,4.79,1.42,3.89,44.9
63207,1940,2.86,3.73,6.4,8.44,4.72,2.55,3.08,1.7,2.44,1.68,7.05,2.73,47.39
63207,1941,3.68,3.59,2.47,1.64,2.96,3.88,4.46,2.93,0.14,2.88,4.16,3,35.8
63207,1942,2.3,3.44,6.67,0.64,1.83,2.16,4.8,6.36,1.44,3.59,5.34,6.9,45.48
63207,1943,3.33,2.13,2.96,3.38,4.2,2.61,4.21,2.2,0.45,3.73,2.85,1.78,33.82
63207,1944,2.44,2.41,5.44,4.13,1.04,2.17,0.86,2.18,9.03,1.9,9.41,2.65,43.65
63207,1945,2.55,3.47,2.22,3.38,3.89,2.78,1.72,3.85,1.15,2.83,5.52,5.8,39.16
63207,1946,4.17,2.63,1.89,1.76,4.22,3.54,2.33,8.45,2.37,0.58,1.27,2.26,35.48
63207,1947,3.04,1.34,1.98,5.56,3.98,2.62,3.19,3.07,2.28,2.57,7.76,2.55,39.95
63207,1948,5.41,2.6,4.51,3.59,9.04,2.89,1.65,0.75,0.44,3.55,4.01,2.18,40.61
63207,1949,5.61,3.84,2.41,3.67,2.86,0.01,2.37,2.51,3.01,2.38,3.87,3.85,36.4
63207,1950,3.23,2.87,2.91,2.43,6.78,2.47,1.74,5.03,0.99,1.61,2.54,3.48,36.08
63207,1951,2.93,2.83,3.99,3.4,4.13,1.11,1.73,4.61,2.79,1.12,7.82,5.17,41.62
63207,1952,4.93,0.62,4.14,2.93,3.37,2.79,2.33,9.33,1.34,1.42,0.25,1.44,34.9
63207,1953,6.93,2.06,7.46,6.22,2.04,0.33,4.98,3.14,1.67,5.1,6.39,5.23,51.54
63207,1954,1.59,3.21,3.67,4.9,3.02,0.91,2.84,7.79,11.2,2.8,4.28,5.25,51.44
63207,1955,0.92,2.8,4.94,2.53,1.01,3.66,2.96,7.6,3.75,8.52,5.05,0.82,44.55
63207,1956,4.94,5.25,5,3.77,2.94,2.35,6.12,1.1,3.82,2.81,6.24,5.97,50.31
63207,1957,3.29,2.47,4.41,4.8,3.6,0.25,1.51,3.83,2.05,4.39,5.46,8.76,44.81
63207,1958,9.68,4.33,6.3,7.38,4.49,2.75,6.82,5.96,4.79,5.37,2.84,2.51,63.22
63207,1959,2.78,3.63,6.81,4.23,1.5,6.76,6.02,2.33,1.65,5.69,4.5,5.11,51.02
63207,1960,3.31,6.73,3.36,3.34,4.44,1.68,5.04,1.13,8.7,2.89,4.18,3.94,48.73
63207,1961,3.79,4.76,4.17,7.81,5.21,2.89,1.86,4.11,9.31,2.82,4.21,4.27,55.21
63207,1962,5.48,6.1,2.36,3.76,1.11,5.12,1.59,3.22,2.93,7.7,4.72,3.47,47.56
63207,1963,4.07,4.41,4.46,1.92,4.27,1.24,3.2,2.71,2.49,0.26,6.81,2.9,38.75
63207,1964,5.23,4.19,2.85,8.6,1.91,1.45,2.47,1.39,2.76,2.77,3.44,5.91,42.98
63207,1965,3.41,4.31,2.4,3.8,2.11,1.18,1.67,2.44,3.2,2.74,1.98,2.13,31.36
63207,1966,4.32,4.4,3.31,1.91,6.41,2.1,2.33,1.46,5.17,3.28,4.37,2.85,41.89
63207,1967,1.69,2.65,6.87,4.22,7.72,3.37,5.25,3.27,3,1.86,4.34,7.98,52.22
63207,1968,2.64,1.66,7.65,1.2,5.16,4.55,0.46,1.85,1.5,2.85,6.71,9,45.23
63207,1969,1.78,3.74,3.47,4.58,3.73,1.19,5.27,3.92,3.44,2.48,6.38,9.7,49.68
63207,1970,0.74,4.76,6.46,4.5,2.75,2.64,1.85,3.07,3.99,3.58,6.93,4.46,45.74
